Geneid	SD1	SD2	SD3	TG1	TG3
ZN651G0001	591	980	818	1017	445
ZN651G0002	46	52	70	15	3
ZN651G0003	4	9	3	7	13
ZN651G0004	372	502	415	455	295
ZN651G0005	687	902	973	746	741
ZN651G0006	636	713	750	783	1367
ZN651G0007	572	735	642	849	325
ZN651G0008	1706	1757	1724	1123	1033
ZN651G0009	7	39	21	13	16
ZN651G0010	148	527	176	134	42
ZN651G0011	79	91	76	156	168
ZN651G0012	0	0	0	0	0
ZN651G0013	1022	1683	1281	2033	918
ZN651G0014	204	199	166	2894	50
ZN651G0015	58	26	20	34	4
ZN651G0016	0	0	0	0	0
ZN651G0017	0	1	0	0	0
ZN651G0018	0	0	0	0	0
ZN651G0019	367	423	467	899	253
ZN651G0020	5	34	54	570	71
ZN651G0021	917	582	583	362	742
ZN651G0022	602	1635	1218	3493	1919
ZN651G0023	1130	858	1053	928	1795
ZN651G0024	580	780	465	663	719
ZN651G0025	0	0	0	0	0
ZN651G0026	33701	54169	43556	3745	9642
ZN651G0027	107	122	157	39	36
ZN651G0028	50	72	56	100	76
ZN651G0029	1073	838	880	474	673
ZN651G0030	28	65	74	49	56
ZN651G0031	235	252	265	409	176
ZN651G0032	7	5	3	7	1
ZN651G0033	246	319	218	326	329
ZN651G0034	856	1053	1176	2404	1247
ZN651G0035	41	0	20	0	6
ZN651G0036	0	0	0	0	0
ZN651G0037	1612	2648	2704	3613	2968
ZN651G0038	0	0	0	0	0
ZN651G0039	0	0	0	0	0
ZN651G0040	535	578	481	870	243
ZN651G0041	0	0	0	0	0
ZN651G0042	410	724	717	719	933
ZN651G0043	31	90	86	9	3
ZN651G0044	0	0	0	0	0
ZN651G0045	0	2	3	0	0
ZN651G0046	0	0	0	0	0
ZN651G0047	20	64	54	89	19
ZN651G0048	1	2	2	0	0
ZN651G0049	2	2	1	2	1
ZN651G0050	13	13	23	21	3
ZN651G0051	50	57	44	273	76
ZN651G0052	2101	2487	1639	1433	1979
ZN651G0053	255	119	200	156	25
ZN651G0054	577	480	532	646	976
ZN651G0055	1	46	101	1	16
ZN651G0056	2	11	23	37	25
ZN651G0057	70	131	131	136	135
ZN651G0058	83	54	350	34	98
ZN651G0059	421	1277	766	677	341
ZN651G0060	1023	753	1278	814	1094
ZN651G0061	1011	2066	1221	8662	2771
ZN651G0062	766	761	710	1091	1312
ZN651G0063	0	0	0	0	2
ZN651G0064	229	596	587	20	586
ZN651G0065	0	6	0	25	1
ZN651G0066	77	105	67	24	32
ZN651G0067	2810	2864	1836	1685	2221
ZN651G0068	281	556	316	277	223
ZN651G0069	829	1173	1113	994	965
ZN651G0070	3	19	19	7	13
ZN651G0071	1356	2169	3135	960	3654
ZN651G0072	2	1	0	2	2
ZN651G0073	3	17	12	30	3
ZN651G0074	0	0	0	0	0
ZN651G0075	496	754	749	1186	254
ZN651G0076	0	0	0	0	0
ZN651G0077	58	19	20	12	5
ZN651G0078	3275	4246	3605	2650	4809
ZN651G0079	349	300	364	166	67
ZN651G0080	106	53	58	47	26
ZN651G0081	0	3	0	0	2
ZN651G0082	1088	788	1168	875	847
ZN651G0083	193	415	272	73	392
ZN651G0084	1	6	3	16	12
ZN651G0085	4	21	24	1	2
ZN651G0086	0	0	1	0	0
ZN651G0087	396	562	337	61	25
ZN651G0088	1368	1224	1042	1033	1191
ZN651G0089	17	53	40	49	9
ZN651G0090	333	177	127	241	120
ZN651G0091	0	0	0	0	0
ZN651G0092	0	0	0	0	0
ZN651G0093	697	473	582	140	110
ZN651G0094	241	1306	2778	176	29
ZN651G0095	0	1	1	0	0
ZN651G0096	65	66	42	73	143
ZN651G0097	632	514	675	522	549
ZN651G0098	4	13	8	3	1
ZN651G0099	927	549	375	680	538
ZN651G0100	35	76	212	0	145
ZN651G0101	1132	1233	1934	6	57
ZN651G0102	1713	1841	2459	116	114
