gene	SD1	SD2	SD3	TG1	TG3	mean_TPM
ZN652G2821	260.16	226.47	306.3	54.37	180.27	205.51
ZN652G2822	30.97	29.93	53.56	1.33	6.19	24.4
ZN652G2823	21.08	34.28	49.66	23.97	16.4	29.08
ZN654G2376	3.15	4.93	4.89	5.96	45.21	12.83
ZN655G2349	54.59	38.88	55.1	17.15	9.7	35.09
ZN658G1277	0	0	0	0	0	0
ZN651G4006	0.36	0	0	5.12	0	1.1
ZN652G1824	8.06	2.75	10.38	0.11	0.73	4.41
ZN652G1825	17.22	5.39	18.09	0.04	2.8	8.71
ZN655G1707	67.75	48.03	35.02	69.14	268.38	97.67
ZN651G1532	0.82	0.19	0	0.27	0	0.26
ZN6510G2439	0.04	0.18	0.14	12.38	6.33	3.81
ZN6511G1474	0	0	0	0	0	0
ZN652G0652	85.13	102.61	101.47	34.37	21.55	69.03
ZN652G3287	0	2.69	2.57	3.67	6.19	3.02
ZN652G3469	0	0	0	0	0	0
ZN653G0422	39.92	27.89	19.83	19.49	15.66	24.56
ZN653G4746	0	0	0	0	0	0
ZN654G0897	0	0.08	0.04	0	0	0.02
ZN655G3453	0.14	0.18	0.04	0.03	0.03	0.08
ZN656G2855	40	54.15	32.62	6.24	38.48	34.3
ZN658G0292	0	0.18	0.31	0.2	0.37	0.21
ZN658G0929	2.22	4.27	4.26	0.34	0.62	2.34
ZN658G2059	36.78	42.93	57.2	1.98	13.22	30.42
ZN658G2289	0	0	0	0	0	0
ZN658G2417	0	0	0	0	0	0
ZN659G1061	0	0.54	0	0	0	0.11
ZN651G2554	0.63	0.4	0.13	0.12	0	0.26
ZN6511G1926	0	2.57	0.28	0	0	0.57
ZN653G3623	0	0	0	0	0	0
ZN654G0020	0.06	0.27	1.45	0	0	0.36
ZN654G0843	0	0	0	0	0	0
ZN651G0937	0	0	0	0	0	0
ZN6510G0956	112.66	106.95	101.55	64.55	100	97.14
ZN6511G0127	6.97	47.37	38.8	52.48	67.72	42.67
ZN6511G0130	3.99	8.84	8.53	6.92	3.62	6.38
ZN6511G1276	0	0	0	0.16	0	0.03
ZN6512G0120	0.12	11.51	6.62	7.41	6.83	6.5
ZN6512G0123	4.08	10.09	10.53	4.43	3.86	6.6
ZN652G1589	41.88	55.35	47.57	28.28	18.01	38.22
ZN653G1779	137.75	146.77	168.22	106.51	339.25	179.7
ZN653G4807	38.74	186.41	169.78	87.43	76.36	111.74
ZN654G3101	23.98	50.16	35.12	6.19	8.54	24.8
ZN656G2924	60.08	104.44	75.37	98.38	74.53	82.56
ZN657G3214	16.05	18.95	21.91	2.22	2.74	12.37
ZN653G3226	13.28	17.07	10.86	304.49	55.85	80.31
ZN654G2867	301.78	36.21	90.55	8.1	0.97	87.52
ZN654G3479	0.21	1.01	2.22	0.15	0.26	0.77
ZN6510G0806	1.29	18.82	27.33	0.3	2.73	10.09
ZN6510G0816	0.98	1.17	2.44	36.61	20.18	12.28
ZN651G4463	0	0	0	0	0	0
ZN6510G1512	0	0	0	0	0	0
ZN653G1221	0	0	0	0	0	0
ZN653G2037	33.32	30.7	33.14	3.05	7.89	21.62
ZN651G2772	0	0	0	0	0	0
ZN656G3045	1	0.67	0.06	0.97	52.01	10.94
ZN657G2555	2.32	7.73	8.25	0.11	0.66	3.81
ZN657G2581	4.76	17.23	9.34	155.67	14	40.2
ZN657G2582	0.88	0.15	0.77	1.2	0	0.6
ZN658G2517	1.34	0.71	1.72	4.05	1.78	1.92
ZN651G1778	1.25	0.79	0.24	0.09	0.65	0.6
ZN6510G2277	65.68	111.44	77.7	13.02	2.69	54.11
ZN652G3429	50.17	20.26	38.58	19.03	56.8	36.97
ZN655G0226	3.25	2.79	2.62	26.83	4.53	8
ZN656G2674	0	0.06	0.12	0.22	0.11	0.1
ZN656G0641	0.79	3.04	2.39	1.1	2.45	1.95
ZN657G0344	0	0.34	0.1	0.18	0.23	0.17
ZN658G0964	0	0	0	0	0	0
ZN653G1214	0	0	0	0	0	0
ZN6510G1693	0.22	0.31	0.31	0	0	0.17
ZN654G3254	0.52	3.08	4.52	4.06	2.71	2.98
ZN654G3255	0.06	3.97	1.64	0	0.8	1.29
