通路步骤	KO	ZN65基因	位置	链
PAL 苯丙氨酸解氨酶	K10775	ZN652G2821	Chr2:26852848-26857367	-
PAL 苯丙氨酸解氨酶	K10775	ZN652G2822	Chr2:26860771-26863358	-
PAL 苯丙氨酸解氨酶	K10775	ZN652G2823	Chr2:26868122-26870776	-
PAL 苯丙氨酸解氨酶	K10775	ZN654G2376	Chr4:25997687-26000431	-
PAL 苯丙氨酸解氨酶	K10775	ZN655G2349	Chr5:22110749-22113262	-
PAL 苯丙氨酸解氨酶	K10775	ZN658G1277	Chr8:13245608-13246664	+
C4H 肉桂酸4羟化酶	K00487	ZN651G4006	Chr1:36630216-36631882	-
C4H 肉桂酸4羟化酶	K00487	ZN652G1824	Chr2:17407147-17409185	-
C4H 肉桂酸4羟化酶	K00487	ZN652G1825	Chr2:17413961-17416072	+
C4H 肉桂酸4羟化酶	K00487	ZN655G1707	Chr5:15397821-15402742	-
4CL 4香豆酸CoA连接酶	K01904	ZN651G1532	Chr1:12619263-12635718	+
4CL 4香豆酸CoA连接酶	K01904	ZN6510G2439	Chr10:25630661-25634070	-
4CL 4香豆酸CoA连接酶	K01904	ZN6511G1474	Chr11:17927454-17929512	+
4CL 4香豆酸CoA连接酶	K01904	ZN652G0652	Chr2:4281609-4287031	+
4CL 4香豆酸CoA连接酶	K01904	ZN652G3287	Chr2:30585444-30589147	-
4CL 4香豆酸CoA连接酶	K01904	ZN652G3469	Chr2:31973107-31976749	-
4CL 4香豆酸CoA连接酶	K01904	ZN653G0422	Chr3:2983303-2988209	-
4CL 4香豆酸CoA连接酶	K01904	ZN653G4746	Chr3:36305004-36305530	-
4CL 4香豆酸CoA连接酶	K01904	ZN654G0897	Chr4:14245754-14247874	-
4CL 4香豆酸CoA连接酶	K01904	ZN655G3453	Chr5:29931696-29933873	+
4CL 4香豆酸CoA连接酶	K01904	ZN656G2855	Chr6:28353015-28359816	-
4CL 4香豆酸CoA连接酶	K01904	ZN658G0292	Chr8:2411353-2414359	+
4CL 4香豆酸CoA连接酶	K01904	ZN658G0929	Chr8:8876821-8881284	+
4CL 4香豆酸CoA连接酶	K01904	ZN658G2059	Chr8:23415442-23418529	-
4CL 4香豆酸CoA连接酶	K01904	ZN658G2289	Chr8:25519913-25523228	+
4CL 4香豆酸CoA连接酶	K01904	ZN658G2417	Chr8:26315428-26317225	-
4CL 4香豆酸CoA连接酶	K01904	ZN659G1061	Chr9:13605693-13606419	-
CHS 查尔酮合酶	K00660	ZN651G2554	Chr1:25240787-25244507	-
CHS 查尔酮合酶	K00660	ZN6511G1926	Chr11:24091097-24092651	+
CHS 查尔酮合酶	K00660	ZN653G3623	Chr3:28433751-28434225	-
CHS 查尔酮合酶	K00660	ZN654G0020	Chr4:277141-278890	-
CHS 查尔酮合酶	K00660	ZN654G0843	Chr4:13865384-13866764	-
CHI 查尔酮异构酶	K01859	ZN651G0937	Chr1:7281769-7282590	+
CHI 查尔酮异构酶	K01859	ZN6510G0956	Chr10:12334216-12341575	-
CHI 查尔酮异构酶	K01859	ZN6511G0127	Chr11:881201-884292	-
CHI 查尔酮异构酶	K01859	ZN6511G0130	Chr11:894336-899286	-
CHI 查尔酮异构酶	K01859	ZN6511G1276	Chr11:13505768-13507669	-
CHI 查尔酮异构酶	K01859	ZN6512G0120	Chr12:839674-841812	-
CHI 查尔酮异构酶	K01859	ZN6512G0123	Chr12:856786-861366	-
CHI 查尔酮异构酶	K01859	ZN652G1589	Chr2:13195175-13201615	-
CHI 查尔酮异构酶	K01859	ZN653G1779	Chr3:12805168-12811703	+
CHI 查尔酮异构酶	K01859	ZN653G4807	Chr3:36619415-36620586	-
CHI 查尔酮异构酶	K01859	ZN654G3101	Chr4:31224685-31228931	+
CHI 查尔酮异构酶	K01859	ZN656G2924	Chr6:28885191-28892872	+
CHI 查尔酮异构酶	K01859	ZN657G3214	Chr7:30146016-30156287	-
F3H 黄烷酮3羟化酶	K00475	ZN653G3226	Chr3:25289314-25291356	-
F3H 黄烷酮3羟化酶	K00475	ZN654G2867	Chr4:29555616-29575229	+
F3H 黄烷酮3羟化酶	K00475	ZN654G3479	Chr4:34037943-34040944	-
F3'H 类黄酮3'羟化酶	K05280	ZN6510G0806	Chr10:10583404-10586631	+
F3'H 类黄酮3'羟化酶	K05280	ZN6510G0816	Chr10:10779182-10781156	+
F3'5'H 类黄酮3'5'羟化酶	K13083	ZN651G4463	Chr1:39756824-39757165	-
F3'5'H 类黄酮3'5'羟化酶	K13083	ZN6510G1512	Chr10:18658585-18658998	+
F3'5'H 类黄酮3'5'羟化酶	K13083	ZN653G1221	Chr3:8786353-8786553	-
F3'5'H 类黄酮3'5'羟化酶	K13083	ZN653G2037	Chr3:15213528-15220054	+
