Chromosome	Centromere_start	Centromere_end	Centromere_mid	CentO_bp_total	CentO_bp_core1Mb
Chr1	17300000	18300000	17800000	688424	668154
Chr2	13800000	14800000	14300000	527157	523422
Chr3	20200000	21200000	20700000	394766	394766
Chr4	8600000	9600000	9100000	55148	55148
Chr5	11900000	12900000	12400000	128303	126719
Chr6	14600000	15600000	15100000	35465	32817
Chr7	12600000	13600000	13100000	537129	536072
Chr8	12500000	13500000	13000000	78500	74980
Chr9	3500000	4500000	4000000	139183	137948
Chr10	9300000	10300000	9800000	155761	152206
Chr11	12900000	13900000	13400000	129545	115910
Chr12	11900000	12900000	12400000	129062	129062
